,mcc,sens,spec,prec,acc,FDR,FPR,PPV,NPV,mism,wspec,tversky,balanced_acc,dice
MRI_722.nii.gz,0.944901362,0.972557173,0.996867624,0.922045925,0.995975494,0.077954075,0.003132376,0.922045925,0.998952368,0.946628219,0.972497798,0.956832104,0.984712399,0.946628219
MRI_764.nii.gz,0.862947972,0.751329145,0.999941862,0.995198464,0.996017456,0.004801536,5.81E-05,0.995198464,0.996027334,0.856237951,0.999477,0.810944755,0.875635503,0.856237951
MRI_627.nii.gz,0.876654373,0.979831316,0.994440765,0.789248265,0.99413681,0.210751735,0.005559235,0.789248265,0.999569258,0.874274029,0.952097305,0.913644834,0.987136041,0.874274029
MRI_380.nii.gz,0.943190926,0.897270471,0.999946181,0.992316136,0.999156952,0.007683864,5.38E-05,0.992316136,0.999204831,0.942402919,0.999515833,0.92381585,0.948608326,0.942402919
MRI_375.nii.gz,0.544173358,0.301457195,1,1,0.982444763,0,0,1,0.98231075,0.463261022,1,0.381380343,0.650728597,0.463261022
MRI_666.nii.gz,0.810723858,0.875128999,0.998931751,0.752440106,0.998474121,0.247559894,0.001068249,0.752440106,0.999536429,0.809160305,0.990467224,0.834317198,0.937030375,0.809160305
MRI_178.nii.gz,0.959018712,0.995397008,0.99810592,0.925840979,0.99804306,0.074159021,0.00189408,0.925840979,0.999890456,0.959359899,0.983207728,0.973457018,0.996751464,0.959359899
MRI_557.nii.gz,0.966087389,0.958069782,0.999112316,0.976703068,0.997577667,0.023296932,0.000887684,0.976703068,0.998372464,0.967296699,0.992067177,0.963584687,0.978591049,0.967296699
MRI_071.nii.gz,0.846811933,0.989956569,0.994738064,0.728380268,0.994670868,0.271619732,0.005261936,0.728380268,0.999856108,0.839259004,0.95455558,0.893675415,0.992347316,0.839259004
MRI_768.nii.gz,0.803204466,0.654623656,0.99990291,0.991854024,0.993778229,0.008145976,9.71E-05,0.991854024,0.993801023,0.7887032,0.999126871,0.728979572,0.827263283,0.7887032
MRI_255.nii.gz,,0.914646923,0.998390006,0.970431303,0.993816376,0.029568697,0.001609994,0.970431303,0.995085461,0.94171371,0.98569431,0.93069701,0.956518465,0.94171371
MRI_314.nii.gz,0.949317972,0.959305367,0.997810638,0.94312455,0.996406555,0.05687545,0.002189362,0.94312455,0.998458924,0.951146147,0.980634919,0.954393123,0.978558002,0.951146147
MRI_830.nii.gz,0.941527516,0.99781564,0.998907083,0.8894081,0.998897552,0.1105919,0.001092917,0.8894081,0.999980738,0.94049825,0.990249001,0.962616429,0.998361361,0.94049825
MRI_794.nii.gz,0.807545423,0.985347985,0.998952591,0.662561576,0.998924255,0.337438424,0.001047409,0.662561576,0.999969388,0.792341679,0.990651655,0.859699585,0.992150288,0.792341679
MRI_919.nii.gz,0.890863831,0.794557823,1,1,0.998847961,0,0,1,0.998842805,0.885519333,1,0.846744962,0.897278912,0.885519333
MRI_882.nii.gz,0.929838564,0.90896023,0.999634695,0.952309237,0.998912811,0.047690763,0.000365305,0.952309237,0.999269658,0.930129934,0.996721839,0.921544814,0.954297463,0.930129934
MRI_785.nii.gz,0.915437652,0.83982684,0.999996175,0.998284734,0.999572754,0.001715266,3.82E-06,0.998284734,0.999575625,0.912225705,0.999965578,0.881818182,0.919911508,0.912225705
MRI_911.nii.gz,0.917729253,0.843717001,0.999996158,0.999374609,0.998867035,0.000625391,3.84E-06,0.999374609,0.99886392,0.914972803,0.999965419,0.885073387,0.921856579,0.914972803
MRI_901.nii.gz,0.710693213,0.998653199,0.994502396,0.508573388,0.994525909,0.491426612,0.005497604,0.508573388,0.999992285,0.673937741,0.952605991,0.774695711,0.996577797,0.673937741
